epoch,train_loss,val_loss,val_cer
1,1.1790503486188222,0.8872330841563997,1.0252532265137562
2,1.0172287071311625,0.5167709844452995,0.802394428795711
3,0.8042770920140736,0.3924086150668916,0.7487066210068578
4,0.7458251358304505,0.3587398124592645,0.6328040038381441
5,0.6552975638664668,0.32011869975498747,0.5390922793006103
6,0.5457669886359973,0.291039068429243,0.2790163942257271
7,0.47925907409915025,0.2640686028060459,0.22012226831521545
8,0.434520808478177,0.25065527927307857,0.18705393033978068
9,0.4022831845441131,0.22803091825473876,0.4926570377814848
10,0.37493607880553115,0.22670527405682064,0.21577268059483226
