document_id,entropy
5312,2.3038624078785506
18357,2.6195311358929754
6428,2.631871900739047
15414,1.6569043304213624
10610,3.0066880721986435
3047,2.79975038862516
19438,2.906926381736047
19204,3.104729803201077
23346,2.136982656688631
15701,2.908528835756505
15110,2.6923718698650054
18791,3.008863173899796
16983,2.9100974926552876
3885,2.932391674715156
8104,3.1405664911662403
18924,2.770033218539922
25388,2.8051224633405507
26083,2.7061462269122005
4884,2.8421185262326443
8203,2.8910702242110675
4788,2.757220865931663
13985,2.7672333431752003
2701,2.6337276898993873
13590,2.657851617444746
19179,3.030893065461633
24013,3.0400588558879877
1215,2.9926574601902245
7842,2.700347979119995
18571,3.129323255648874
16681,2.6446075969179494
13989,2.9523306769720246
13381,1.7178723965879255
19466,3.2374425317191617
23188,3.0905097860727855
21262,2.703835741404269
5500,2.358631162005812
19859,2.910122845449369
3594,1.5836798197442927
19826,2.5532607190646277
13655,2.400484674708184
2585,2.4633336837422504
21742,2.5753549625425656
2350,2.881790838212018
12151,3.142973121516817
22822,2.1640262378787765
4191,2.7063551026362735
17638,2.4067416433885964
25128,2.903634342424734
9733,1.916000708522839
5102,3.160803337348379
6316,3.0831833813277565
26259,3.0486685201525985
6187,2.977292354856951
6760,2.84981326364273
5971,3.15033805623601
16277,2.9627154209341207
12428,2.943252378278069
9140,2.673182056309181
25331,2.9433708550239883
17829,2.4571764878757
7406,2.334931243033484
11644,2.4897798335213652
18137,2.8219281362079056
11660,2.7382643384395253
19748,3.3142912935970155
25235,2.5591438379966673
9334,3.159937190109259
5227,2.939638054379098
2641,2.6487150286076377
5504,2.9425419997347015
8178,2.738127857350667
14013,2.974953451108512
25445,2.9189261726038715
26055,2.895001853173774
1569,2.9000600094314026
19957,3.0521386249954188
24735,2.119599035743312
6271,2.8735021002480594
10569,2.896350621840011
7763,2.8102248058459756
5405,2.8425148458818086
428,2.884418216697226
22513,2.698319892929066
10697,2.854720248992743
10941,3.0988759577078935
10008,2.7075227897156795
24702,2.8679029775792766
4745,2.519363046224056
1959,3.0321626074128005
19367,2.66926524743606
9774,2.752095240894382
3181,2.8333110578780567
19079,2.9587857605878165
1266,2.8244888823173016
7071,2.704749886516392
18594,1.8902578487343942
22810,2.946004640475737
5937,2.3717335590605333
16413,2.802273096977946
99,2.4370740572820786
10108,2.8340291723832056
16540,2.681425516646128
6904,2.8356365451169654
10898,2.9246508991323474
9736,2.923059099820153
11611,2.909842870870263
14673,3.066615375832266
6921,2.79450435167087
18054,2.814413666420741
14015,2.8196470470614434
12520,3.021562106628587
4702,2.9760847224029474
7277,2.857341609806607
7886,2.615557450053545
15025,3.388491840102554
24790,1.123511358942891
18636,2.4623539936584935
6663,2.611054170624974
19489,2.8923641308259
5514,2.7613253177341273
24120,2.825121211086561
16765,3.1146718450451414
8489,2.8957837274399973
17229,2.810173106248845
4877,3.134402663535953
23824,2.8105140279832406
19246,3.1539549032437875
6887,2.429808512932222
10316,2.654881853930244
25161,2.9012448777180984
3858,2.777986239263725
12902,2.761868059566895
12193,2.67463281096031
24883,2.8161808557224046
9440,2.7811719760673435
19876,1.8708648183070615
20156,2.7457052355447003
9530,2.7694983420869197
17481,3.069077145406756
17105,2.8996266525372545
24771,2.174123856540742
26813,2.6127870780583984
5225,2.53941272259956
12893,3.049902349126984
2588,3.016564828625131
15293,2.4284274590401123
10210,2.7501773753706478
12400,2.7504962875334464
26048,2.179971924537687
2851,2.706338253378322
16316,2.873024849998522
10768,2.8176617787874148
2152,2.3683084722936227
9027,2.255853962845714
12304,2.671009538001914
5584,2.5582457815497293
8931,3.052288303134617
24646,2.981560316318498
12562,2.3186894608187485
14627,2.7399434603395103
13400,3.065452496200235
8618,2.5431549044735102
14690,2.640948475330978
24584,2.6581954712291638
25848,3.0567485298104766
18126,2.928554532656429
22442,2.9581154083781027
14094,2.6114698001809793
20762,2.9383402989578986
13172,2.0223211231498834
26431,2.7850274999950435
20665,2.169888895404496
13847,2.81162184837049
9099,3.163200538878613
20441,2.7375622756503097
10935,2.6525023091520965
20573,2.476166294160586
2819,2.4533730221166814
22231,2.186797518112132
7503,3.0227942267264702
2752,2.28897183471702
18143,2.834573411434493
9559,2.3957824985231597
2533,2.7722267386945436
16543,2.5543580810376825
4679,2.664774476994489
3308,2.9614767186602156
250,2.407568924394234
4059,2.4383598317906956
4194,3.1226773919637747
18158,2.7122035214278157
25880,2.651253917323292
196,2.375014515899175
21875,2.774346876068674
12620,2.948473701355117
18434,3.2706857496992985
26010,3.0807335664513125
24047,3.06864480058507
5875,2.7884673410054024
18404,2.168307063878529
3421,2.6749070298699755
345,2.8882499192567956
10318,2.668807543464473
323,2.455516159501361
8892,2.528568333273988
5671,2.7260390718911194
22410,2.8083885785132146
13468,2.7674113257965924
4047,2.791123335866557
22158,2.7515318717019714
7497,2.5224323659221577
8483,2.6509850092572425
8029,2.6747562534696256
18893,3.026605432794854
19796,2.752589183284917
21309,2.972391824056007
13090,2.9784588710624846
23763,2.7893462886297464
5673,2.0247189696191863
13220,1.9959742425705884
12293,2.960591276733755
17011,2.7879490866228402
21023,1.9507926384139906
1981,2.72215541039824
1202,3.1665980700897345
14943,2.7136658879498428
7731,2.9456161827783096
10864,3.0872629004110106
26295,2.8360524834605805
24693,2.1356414937532193
9999,2.9894547171340506
22567,3.0003670646208707
19199,2.9582431992000866
12287,3.0869038249652903
4157,2.7518708774516805
8170,2.902174881334703
23978,3.0787718099942865
17446,2.7832155791200353
10249,2.298285141344076
10152,2.8779987553723774
3993,2.7608927047520466
16463,2.7844062895373485
1433,3.2330850251692276
1923,2.644188084524585
11879,2.831666303225506
25926,2.8488765966037617
16124,2.6085180662988203
2142,2.875222438565565
22468,2.8815936714687953
2937,2.5479362609155647
15554,2.7861504517139326
6355,2.408979897712593
19798,2.4891584273463994
18675,2.842037487201539
6307,2.9382734912778474
15900,2.781004736338346
2592,2.8623009219909776
16756,3.111137371360334
24356,2.72991591606741
15143,3.048148331234081
15725,2.7522785957110854
24628,2.890843557885534
13627,2.5583099799156064
26563,3.1737555946411193
11238,3.1405992500129343
23463,2.5438683328796143
26866,2.964547155255232
13492,2.8891843986083328
20634,2.3314327594962214
17601,2.73190248918635
15071,2.788499319364154
22317,2.7669368955805753
13887,2.7931002647606586
6857,2.782271514793081
14442,3.019003498238316
15272,3.1531419367265405
13197,2.803610260070552
10362,2.6888067666783604
12636,2.5831944019462516
23849,3.0542504316592667
26066,3.0546223005178157
16801,2.569947883588013
26774,2.733755657462357
19227,2.794541095872901
11961,2.0746404474813387
20434,2.9154187391042727
25431,2.1774225217079897
9507,2.9529904835547183
25666,2.3673650005141624
866,2.1201019770727396
22198,2.693268663801514
2958,3.3117289040346076
12912,2.9066760337908892
12030,2.6548359687519207
15263,2.629398851392955
7330,2.6235129530613848
26254,2.2136520888839657
9773,2.8098022628590438
25115,2.822754364564364
14108,2.8335143305137183
17538,2.9482515249287338
16111,2.9598100177838838
4037,3.0444917351412153
22363,2.7619311183900055
20970,2.098152321640312
6148,2.159314567782148
5259,2.777404783166445
21383,2.8295888623618843
18110,2.9706854231318816
6258,3.1866783197010156
23380,2.5977863866408946
19378,3.2280042327277503
12798,2.4287266521026685
21265,2.60078837163509
24650,2.205684002033546
10325,3.1890245756253743
12659,2.693650898096118
5784,2.9401807320849818
25323,3.0048395916271895
18131,2.910613448583289
15829,2.935276769184682
25479,2.8301291898364616
9602,2.364131998752123
8896,2.974817544930135
16214,3.169363549815639
7661,3.0319295030349154
9749,2.4275938415751392
12090,2.785051881411788
15953,2.8093375764436153
4178,2.3691307003891855
12983,2.699990160026586
15245,2.8752496270371597
