threshold,fpr,tpr
0.98301089,0.00032000,0.01728000
0.98265326,0.00032000,0.01848000
0.98265713,0.00032000,0.01840000
0.98269320,0.00032000,0.01832000
0.98273426,0.00032000,0.01824000
0.98274958,0.00032000,0.01816000
0.98277169,0.00032000,0.01808000
0.98280901,0.00032000,0.01800000
0.98283398,0.00032000,0.01792000
0.98239934,0.00032000,0.01912000
0.98245358,0.00032000,0.01904000
0.98398709,0.00032000,0.01480000
0.98255241,0.00032000,0.01888000
0.98256302,0.00032000,0.01880000
0.98257393,0.00032000,0.01872000
0.98261112,0.00032000,0.01864000
0.98261434,0.00032000,0.01856000
0.98480588,0.00032000,0.01176000
0.98485470,0.00032000,0.01168000
0.98487419,0.00032000,0.01160000
0.98489720,0.00032000,0.01152000
0.98492473,0.00032000,0.01144000
0.98496372,0.00032000,0.01136000
0.98496825,0.00032000,0.01128000
0.98512650,0.00032000,0.01120000
0.98463434,0.00032000,0.01248000
0.98239428,0.00032000,0.01928000
0.98316610,0.00032000,0.01696000
0.98320621,0.00032000,0.01688000
0.98212296,0.00032000,0.02032000
0.98212653,0.00032000,0.02024000
0.98217291,0.00032000,0.02016000
0.98220187,0.00032000,0.02008000
0.98223984,0.00032000,0.02000000
0.98426658,0.00032000,0.01376000
0.98422390,0.00032000,0.01384000
0.98422295,0.00032000,0.01392000
0.98325634,0.00032000,0.01664000
0.98321992,0.00032000,0.01672000
0.98321301,0.00032000,0.01680000
0.98398858,0.00032000,0.01472000
0.98237258,0.00032000,0.01936000
0.98235130,0.00032000,0.01944000
0.98234475,0.00032000,0.01952000
0.98232251,0.00032000,0.01960000
0.98329091,0.00032000,0.01656000
0.98230731,0.00032000,0.01968000
0.98229122,0.00032000,0.01976000
0.98342150,0.00032000,0.01648000
0.98342806,0.00032000,0.01640000
0.98346519,0.00032000,0.01632000
0.98348492,0.00032000,0.01624000
0.98239905,0.00032000,0.01920000
0.98350590,0.00032000,0.01600000
0.98373127,0.00032000,0.01544000
0.98373586,0.00032000,0.01536000
0.98376089,0.00032000,0.01528000
0.98376209,0.00032000,0.01520000
0.98376828,0.00032000,0.01512000
0.98377740,0.00032000,0.01504000
0.98388922,0.00032000,0.01496000
0.98348618,0.00032000,0.01616000
0.98369265,0.00032000,0.01552000
0.98310053,0.00032000,0.01704000
0.98408288,0.00032000,0.01432000
0.98408079,0.00032000,0.01440000
0.98350334,0.00032000,0.01608000
0.98352504,0.00032000,0.01592000
0.98357034,0.00032000,0.01584000
0.98358077,0.00032000,0.01576000
0.98359364,0.00032000,0.01568000
0.98361903,0.00032000,0.01560000
0.98226124,0.00032000,0.01992000
0.98228413,0.00032000,0.01984000
0.98404908,0.00032000,0.01448000
0.98403788,0.00032000,0.01456000
0.98400486,0.00032000,0.01464000
0.98307461,0.00032000,0.01720000
0.98308933,0.00032000,0.01712000
0.98197871,0.00040000,0.02064000
0.98200512,0.00040000,0.02056000
0.98196191,0.00040000,0.02072000
0.98193204,0.00040000,0.02080000
0.98211068,0.00040000,0.02032000
0.98205572,0.00040000,0.02040000
0.98204350,0.00040000,0.02048000
0.98167324,0.00048000,0.02120000
0.98179173,0.00048000,0.02096000
0.98182595,0.00048000,0.02080000
0.98179239,0.00048000,0.02088000
0.98176849,0.00048000,0.02104000
0.98162258,0.00048000,0.02144000
0.98164582,0.00048000,0.02136000
0.98164833,0.00048000,0.02128000
0.98174208,0.00048000,0.02112000
0.98129451,0.00056000,0.02248000
0.98128933,0.00056000,0.02256000
0.98142290,0.00056000,0.02200000
0.98128742,0.00056000,0.02264000
0.98127729,0.00056000,0.02272000
0.98125893,0.00056000,0.02280000
0.98123574,0.00056000,0.02288000
0.98150074,0.00056000,0.02168000
0.98148042,0.00056000,0.02176000
0.98129714,0.00056000,0.02240000
0.98138511,0.00056000,0.02224000
0.98139679,0.00056000,0.02216000
0.98141885,0.00056000,0.02208000
0.98091447,0.00056000,0.02344000
0.98145229,0.00056000,0.02192000
0.98158652,0.00056000,0.02160000
0.98158777,0.00056000,0.02152000
0.98161155,0.00056000,0.02144000
0.98147225,0.00056000,0.02184000
0.98066038,0.00056000,0.02392000
0.98039836,0.00056000,0.02472000
0.98049533,0.00056000,0.02464000
0.98050082,0.00056000,0.02456000
0.98056227,0.00056000,0.02448000
0.98056430,0.00056000,0.02440000
0.98056442,0.00056000,0.02432000
0.98059064,0.00056000,0.02424000
0.98090494,0.00056000,0.02360000
0.98089212,0.00056000,0.02368000
0.98078406,0.00056000,0.02376000
0.98070097,0.00056000,0.02384000
0.98137766,0.00056000,0.02232000
0.98061472,0.00056000,0.02400000
0.98061150,0.00056000,0.02408000
0.98059684,0.00056000,0.02416000
0.98120075,0.00056000,0.02296000
0.98112750,0.00056000,0.02304000
0.98106670,0.00056000,0.02312000
0.98098409,0.00056000,0.02320000
0.98098248,0.00056000,0.02328000
0.98096943,0.00056000,0.02336000
0.98035908,0.00056000,0.02480000
0.98090816,0.00056000,0.02352000
0.98021507,0.00064000,0.02520000
0.98021770,0.00064000,0.02512000
0.98013306,0.00064000,0.02544000
0.97977930,0.00064000,0.02680000
0.97976089,0.00064000,0.02688000
0.97997183,0.00064000,0.02608000
0.97997344,0.00064000,0.02600000
0.97998399,0.00064000,0.02592000
0.97983825,0.00064000,0.02664000
0.97980565,0.00064000,0.02672000
0.97986299,0.00064000,0.02656000
0.97996610,0.00064000,0.02616000
0.97986734,0.00064000,0.02648000
0.97988462,0.00064000,0.02640000
0.98018575,0.00064000,0.02528000
0.97991520,0.00064000,0.02632000
0.98015428,0.00064000,0.02536000
0.98011649,0.00064000,0.02552000
0.98008609,0.00064000,0.02560000
0.98007125,0.00064000,0.02568000
0.98003370,0.00064000,0.02576000
0.98001271,0.00064000,0.02584000
0.98033732,0.00064000,0.02480000
0.98031014,0.00064000,0.02488000
0.98028058,0.00064000,0.02496000
0.98022318,0.00064000,0.02504000
0.97993279,0.00064000,0.02624000
0.97970104,0.00072000,0.02704000
0.97958553,0.00072000,0.02744000
0.97970426,0.00072000,0.02696000
0.97971493,0.00072000,0.02688000
0.97959852,0.00072000,0.02736000
0.97898030,0.00072000,0.02904000
0.97900552,0.00072000,0.02896000
0.97901595,0.00072000,0.02888000
0.97904265,0.00072000,0.02880000
0.97904384,0.00072000,0.02872000
0.97961503,0.00072000,0.02728000
0.97962099,0.00072000,0.02720000
0.97966939,0.00072000,0.02712000
0.97917044,0.00072000,0.02840000
0.97918081,0.00072000,0.02832000
0.97926259,0.00072000,0.02816000
0.97933382,0.00072000,0.02808000
0.97943270,0.00072000,0.02800000
0.97956914,0.00072000,0.02752000
0.97950941,0.00072000,0.02760000
0.97947639,0.00072000,0.02768000
0.97895330,0.00072000,0.02920000
0.97946644,0.00072000,0.02784000
0.97944105,0.00072000,0.02792000
0.97913021,0.00072000,0.02848000
0.97907603,0.00072000,0.02856000
0.97886580,0.00072000,0.02928000
0.97905356,0.00072000,0.02864000
0.97896934,0.00072000,0.02912000
