epoch,train_loss,val_loss,val_perplexity,lr_last
1,1.4702825623906648,1.251024782810065,3.4939218420172877,0.0009755282581475714
2,1.2690457549789524,1.1917100614294067,3.2927073018113755,0.0009045084971874715
3,1.2231319036432229,1.1568515233676453,3.179905661239269,0.0007938926261462336
4,1.190466487299189,1.1289948240265517,3.092546379243301,0.0006545084971874741
5,1.1635683129400658,1.1072268312239586,3.0259553161024506,0.0004999999999999999
6,1.1401444678623929,1.0886367230159242,2.9702221736017465,0.0003454915028125292
7,1.1196902406500469,1.072287571399718,2.9220562378813892,0.00020610737385376535
8,1.1029997658200639,1.0624825234913156,2.893545237919082,9.549150281252757e-05
9,1.0915419829244364,1.0570805899017608,2.8779568821919117,2.4471741852423567e-05
10,1.0860217179386824,1.056502342529004,2.8762930861354943,0.0
